City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,itaituba,-4.2761,-55.9836,33.09000000000003,62,40,4.12,BR,1684774365
66,gebeit,21.0667,36.3167,29.629999999999995,15,0,3.64,SD,1684774365
67,babo-pangulo,15.0833,120.5167,27.100000000000023,78,75,3.09,PH,1684774365
68,akonolinga,3.7667,12.25,22.74000000000001,95,63,1.0,CM,1684774016
69,berrotaran,-32.451,-64.3887,22.27000000000004,54,3,2.46,AR,1684774163
70,kaa-khem,51.6833,94.7333,12.330000000000041,57,100,1.34,RU,1684774365
71,olonkinbyen,70.9221,-8.7187,1.2600000000000477,92,39,6.33,SJ,1684773938
72,ribeira grande,38.5167,-28.7,20.220000000000027,73,75,5.81,PT,1684773900
73,nimaj,26.1497,74.0,33.81,20,62,6.52,IN,1684774365
74,remire-montjoly,4.9167,-52.2667,29.02000000000004,79,75,4.12,GF,1684773987
75,bethel,41.3712,-73.414,24.120000000000005,57,0,2.57,US,1684773925
76,kapuskasing,49.4169,-82.4331,12.050000000000011,37,75,1.54,CA,1684773931
77,dolinsk,47.35,142.8,3.140000000000043,93,91,2.2,RU,1684773964
78,san antonio,29.4241,-98.4936,27.980000000000018,63,0,2.06,US,1684773741
79,port saint john's,-31.6229,29.5448,16.29000000000002,67,26,1.28,ZA,1684774365
80,mount gambier,-37.8333,140.7667,11.470000000000027,76,100,2.15,AU,1684773964
81,constantia,44.1833,28.65,17.610000000000014,80,40,2.77,RO,1684773986
82,ilebo,-4.3167,20.5833,21.860000000000014,98,91,1.38,CD,1684774366
83,cabo san lucas,22.8909,-109.9124,32.32000000000005,29,0,1.03,MX,1684773871
84,palopo,-2.9996,120.1921,24.83000000000004,89,100,0.95,ID,1684774366
85,salalah,17.0151,54.0924,30.05000000000001,74,40,4.63,OM,1684773948
86,okuta,9.2167,3.1833,30.710000000000036,62,66,2.24,NG,1684774366
87,geraldton,-28.7667,114.6,12.230000000000018,76,100,2.57,AU,1684774366
88,tarakan,3.3,117.6333,26.80000000000001,84,93,2.58,ID,1684774366
89,salekhard,66.53,66.6019,12.970000000000027,68,4,4.28,RU,1684774366
90,masasi,-10.7167,38.8,24.430000000000007,65,94,0.79,TZ,1684774366
91,olyokminsk,60.3736,120.4264,0.82000000000005,52,46,1.06,RU,1684774011
92,lihue,21.9789,-159.3672,23.77000000000004,85,100,7.2,US,1684773964
93,sao joao da barra,-21.6403,-41.0511,27.05000000000001,63,99,3.44,BR,1684774020
94,st. john's,47.5649,-52.7093,13.210000000000036,94,100,3.09,CA,1684773756
95,krasnyy chikoy,50.3643,108.7512,9.170000000000016,49,90,0.98,RU,1684774367
96,arkhangel'sk,64.5401,40.5433,18.27000000000004,40,100,1.82,RU,1684774367
97,east london,-33.0153,27.9116,10.520000000000039,87,0,1.03,ZA,1684773995
98,antonio enes,-16.2325,39.9086,24.650000000000034,77,1,3.69,MZ,1684774367
99,walvis bay,-22.9575,14.5053,17.410000000000025,66,14,3.52,NA,1684774367
100,klaksvik,62.2266,-6.589,9.510000000000048,74,21,10.25,FO,1684774367
101,apolinario saravia,-24.4328,-63.9954,28.49000000000001,48,2,6.43,AR,1684774367
